PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,1,22.0,1,0,7.25,1,N
2,1,0,38.0,1,0,71.2833,2,N
3,3,0,26.0,0,0,7.925,1,N
4,1,0,35.0,1,0,53.1,1,N
5,3,1,35.0,0,0,8.05,1,N
6,3,1,0.0,0,0,8.4583,3,N
7,1,1,54.0,0,0,51.8625,1,N
8,3,1,2.0,3,1,21.075,1,N
9,3,0,27.0,0,2,11.1333,1,N
10,2,0,14.0,1,0,30.0708,2,N
11,3,0,4.0,1,1,16.7,1,N
12,1,0,58.0,0,0,26.55,1,N
13,3,1,20.0,0,0,8.05,1,N
14,3,1,39.0,1,5,31.275,1,N
15,3,0,14.0,0,0,7.8542,1,N
16,2,0,55.0,0,0,16.0,1,N
17,3,1,2.0,4,1,29.125,3,N
18,2,1,0.0,0,0,13.0,1,N
19,3,0,31.0,1,0,18.0,1,N
20,3,0,0.0,0,0,7.225,2,N
21,2,1,35.0,0,0,26.0,1,N
22,2,1,34.0,0,0,13.0,1,N
23,3,0,15.0,0,0,8.0292,3,N
24,1,1,28.0,0,0,35.5,1,N
25,3,0,8.0,3,1,21.075,1,N
26,3,0,38.0,1,5,31.3875,1,N
27,3,1,0.0,0,0,7.225,2,N
28,1,1,19.0,3,2,263.0,1,N
29,3,0,0.0,0,0,7.8792,3,N
30,3,1,0.0,0,0,7.8958,1,N
31,1,1,40.0,0,0,27.7208,2,N
32,1,0,0.0,1,0,146.5208,2,N
33,3,0,0.0,0,0,7.75,3,N
34,2,1,66.0,0,0,10.5,1,N
35,1,1,28.0,1,0,82.1708,2,N
36,1,1,42.0,1,0,52.0,1,N
37,3,1,0.0,0,0,7.2292,2,N
38,3,1,21.0,0,0,8.05,1,N
39,3,0,18.0,2,0,18.0,1,N
40,3,0,14.0,1,0,11.2417,2,N
41,3,0,40.0,1,0,9.475,1,N
42,2,0,27.0,1,0,21.0,1,N
43,3,1,0.0,0,0,7.8958,2,N
44,2,0,3.0,1,2,41.5792,2,N
45,3,0,19.0,0,0,7.8792,3,N
46,3,1,0.0,0,0,8.05,1,N
47,3,1,0.0,1,0,15.5,3,N
48,3,0,0.0,0,0,7.75,3,N
49,3,1,0.0,2,0,21.6792,2,N
50,3,0,18.0,1,0,17.8,1,N
51,3,1,7.0,4,1,39.6875,1,N
52,3,1,21.0,0,0,7.8,1,N
53,1,0,49.0,1,0,76.7292,2,N
54,2,0,29.0,1,0,26.0,1,N
55,1,1,65.0,0,1,61.9792,2,N
56,1,1,0.0,0,0,35.5,1,N
57,2,0,21.0,0,0,10.5,1,N
58,3,1,28.5,0,0,7.2292,2,N
59,2,0,5.0,1,2,27.75,1,N
60,3,1,11.0,5,2,46.9,1,N
61,3,1,22.0,0,0,7.2292,2,N
62,1,0,38.0,0,0,80.0,0,N
63,1,1,45.0,1,0,83.475,1,N
64,3,1,4.0,3,2,27.9,1,N
65,1,1,0.0,0,0,27.7208,2,N
66,3,1,0.0,1,1,15.2458,2,N
67,2,0,29.0,0,0,10.5,1,N
68,3,1,19.0,0,0,8.1583,1,N
69,3,0,17.0,4,2,7.925,1,N
70,3,1,26.0,2,0,8.6625,1,N
71,2,1,32.0,0,0,10.5,1,N
72,3,0,16.0,5,2,46.9,1,N
73,2,1,21.0,0,0,73.5,1,N
74,3,1,26.0,1,0,14.4542,2,N
75,3,1,32.0,0,0,56.4958,1,N
76,3,1,25.0,0,0,7.65,1,N
77,3,1,0.0,0,0,7.8958,1,N
78,3,1,0.0,0,0,8.05,1,N
79,2,1,0.83,0,2,29.0,1,N
80,3,0,30.0,0,0,12.475,1,N
81,3,1,22.0,0,0,9.0,1,N
82,3,1,29.0,0,0,9.5,1,N
83,3,0,0.0,0,0,7.7875,3,N
